age,height_cm,weight_kgs,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),primary_position,body_type_clean,continent,pace_index,shooting_index,passing_index,dribbling_index,defending_index,physical_index,growth,position_group
26,185.42,74.8,59,62,160000.0,4000.0,Left,1,2,2,LB,Lean,Africa,64.5,36.333333333333336,44.166666666666664,49.5,60.2,64.0,3,Defender
32,154.94,74.8,69,69,900000.0,13000.0,Right,2,4,3,CM,Normal,Europe,58.0,67.0,71.16666666666667,70.16666666666667,53.8,57.75,0,Midfielder
22,152.4,69.9,65,71,750000.0,5000.0,Right,1,3,2,ST,Normal,Africa,71.0,65.5,46.833333333333336,60.833333333333336,24.2,53.5,6,Attacker
25,172.72,69.9,56,59,80000.0,1000.0,Left,1,3,1,GK,Normal,Asia,33.0,9.0,20.0,28.0,10.2,35.75,3,Goalkeeper
25,185.42,79.8,73,77,3700000.0,7000.0,Right,1,2,1,GK,Normal,Asia,27.5,11.333333333333334,21.333333333333332,36.5,13.6,40.5,4,Goalkeeper
21,175.26,73.0,65,73,675000.0,4000.0,Left,1,3,2,LB,Normal,Africa,73.0,40.5,47.166666666666664,66.0,62.6,63.5,8,Defender
31,152.4,68.0,59,59,100000.0,2000.0,Left,1,3,2,LWB,Normal,Asia,65.0,55.5,56.0,61.5,51.8,65.0,0,Defender
19,187.96,79.8,54,64,90000.0,1000.0,Right,1,4,2,CB,Normal,Europe,52.5,25.666666666666668,31.333333333333332,46.0,49.6,65.0,10,Defender
28,172.72,71.2,71,71,1900000.0,15000.0,Right,1,2,2,CDM,Stocky,Europe,65.5,57.5,55.333333333333336,69.66666666666667,66.6,78.5,0,Midfielder
28,175.26,73.0,62,62,325000.0,2000.0,Right,1,4,3,CAM,Normal,Europe,71.5,60.833333333333336,58.833333333333336,62.5,39.6,62.75,0,Midfielder
21,175.26,69.9,64,72,575000.0,2000.0,Left,1,3,2,LB,Lean,Europe,68.5,36.0,43.666666666666664,62.666666666666664,62.8,58.25,8,Defender
23,154.94,74.8,64,72,575000.0,1000.0,Right,1,3,2,CB,Normal,Europe,80.0,40.5,39.166666666666664,57.333333333333336,62.8,68.0,8,Defender
35,175.26,73.9,68,68,210000.0,2000.0,Right,1,3,2,CB,Normal,South America,47.0,30.333333333333332,35.833333333333336,52.666666666666664,68.8,71.0,0,Defender
22,175.26,73.0,66,78,1200000.0,5000.0,Right,1,3,3,RM,Normal,North America,80.5,54.333333333333336,59.166666666666664,63.833333333333336,45.2,61.5,12,Midfielder
31,170.18,71.2,66,66,475000.0,13000.0,Left,1,4,3,LB,Stocky,North America,56.5,61.333333333333336,67.5,71.5,62.4,64.75,0,Defender
27,152.4,69.9,73,73,4200000.0,12000.0,Right,1,2,3,CM,Lean,Africa,77.0,63.0,64.0,74.0,70.6,79.0,0,Midfielder
24,152.4,72.1,64,71,650000.0,5000.0,Right,1,3,2,ST,Lean,Asia,75.0,62.0,42.833333333333336,60.166666666666664,23.6,64.5,7,Attacker
27,185.42,78.9,75,76,6500000.0,1000.0,Right,1,3,3,CDM,Normal,Europe,60.5,53.5,58.0,63.5,72.4,76.25,1,Midfielder
20,154.94,72.1,58,75,280000.0,2000.0,Right,1,4,2,CM,Normal,Europe,61.5,55.166666666666664,58.333333333333336,61.166666666666664,47.4,45.75,17,Midfielder
21,182.88,73.0,58,68,210000.0,1000.0,Right,1,3,3,LW,Lean,Europe,76.0,50.666666666666664,43.5,59.833333333333336,30.0,46.75,10,Attacker
25,185.42,69.9,72,75,3900000.0,16000.0,Left,1,3,4,LM,Normal,Asia,76.0,67.33333333333333,68.66666666666667,70.66666666666667,67.2,73.5,3,Midfielder
31,182.88,73.9,72,72,2900000.0,16000.0,Right,1,3,3,LW,Lean,Africa,81.5,67.66666666666667,64.33333333333333,70.83333333333333,51.8,65.5,0,Attacker
19,182.88,77.1,62,79,650000.0,2000.0,Right,1,4,3,CAM,Normal,Europe,75.0,50.833333333333336,57.333333333333336,67.66666666666667,46.6,52.25,17,Midfielder
25,175.26,69.9,63,67,475000.0,1000.0,Left,1,4,3,CM,Lean,Europe,69.5,60.333333333333336,64.66666666666667,72.0,51.4,59.75,4,Midfielder
28,154.94,79.8,72,75,2600000.0,10000.0,Right,1,2,1,GK,Normal,South America,46.0,16.833333333333332,24.833333333333332,43.333333333333336,16.4,45.0,3,Goalkeeper
19,190.5,82.1,52,68,110000.0,1000.0,Right,1,3,2,ST,Normal,Europe,61.5,50.333333333333336,35.333333333333336,49.666666666666664,24.8,56.25,16,Attacker
30,172.72,64.0,62,62,290000.0,1000.0,Right,1,3,2,CM,Lean,Europe,66.0,42.666666666666664,54.333333333333336,67.33333333333333,46.0,63.0,0,Midfielder
19,190.5,74.8,57,71,200000.0,1000.0,Right,1,2,2,CB,Lean,Europe,54.5,22.833333333333332,29.333333333333332,39.833333333333336,57.6,60.75,14,Defender
17,154.94,76.2,62,82,550000.0,2000.0,Right,1,3,2,CB,Normal,Europe,65.5,33.333333333333336,36.833333333333336,51.833333333333336,63.8,63.25,20,Defender
28,190.5,84.8,71,71,2400000.0,5000.0,Left,1,2,3,CM,Normal,Europe,62.5,66.66666666666667,73.66666666666667,63.166666666666664,50.2,61.5,0,Midfielder
22,182.88,77.1,74,79,7500000.0,19000.0,Right,1,4,3,ST,Normal,Europe,78.5,68.33333333333333,55.166666666666664,70.5,32.2,76.75,5,Attacker
25,182.88,77.1,66,70,700000.0,4000.0,Right,2,1,2,CB,Normal,Europe,68.5,38.833333333333336,47.666666666666664,54.666666666666664,65.2,67.75,4,Defender
30,185.42,84.8,68,68,900000.0,13000.0,Left,1,4,3,ST,Normal,Africa,70.5,64.16666666666667,54.333333333333336,64.83333333333333,36.6,71.25,0,Attacker
18,193.04,78.9,58,73,200000.0,1000.0,Left,1,3,1,GK,Lean,Europe,33.5,14.833333333333334,20.833333333333332,30.166666666666668,11.4,37.5,15,Goalkeeper
36,152.4,110.2,66,66,230000.0,2000.0,Right,1,3,2,ST,Other,Europe,43.5,64.16666666666667,50.5,59.5,36.0,71.25,0,Attacker
19,170.18,82.1,60,79,425000.0,1000.0,Right,1,3,2,ST,Normal,North America,87.5,54.833333333333336,45.666666666666664,60.0,23.4,65.25,19,Attacker
20,187.96,82.1,62,76,650000.0,1000.0,Right,1,3,3,ST,Normal,Africa,73.5,56.166666666666664,37.666666666666664,58.833333333333336,25.2,60.5,14,Attacker
20,154.94,77.1,63,78,775000.0,1000.0,Right,1,3,3,CM,Normal,Europe,62.5,50.166666666666664,59.0,64.5,53.8,63.5,15,Midfielder
19,152.4,69.9,54,73,140000.0,1000.0,Right,1,3,2,CAM,Lean,Europe,62.0,45.0,54.5,55.833333333333336,41.8,49.5,19,Midfielder
25,152.4,72.1,62,68,350000.0,5000.0,Left,1,4,2,LB,Lean,Asia,73.5,53.166666666666664,57.333333333333336,64.66666666666667,54.8,62.0,6,Defender
22,185.42,73.0,60,70,290000.0,3000.0,Right,1,3,2,CB,Normal,Asia,62.5,29.5,38.166666666666664,45.5,60.4,59.5,10,Defender
23,175.26,69.9,56,65,120000.0,3000.0,Right,1,3,2,CB,Normal,Asia,59.0,25.666666666666668,26.666666666666668,42.5,57.4,58.5,9,Defender
23,182.88,74.8,60,66,210000.0,2000.0,Right,1,2,1,GK,Normal,Asia,43.5,16.833333333333332,23.0,38.666666666666664,17.8,39.25,6,Goalkeeper
22,172.72,77.1,58,69,220000.0,4000.0,Right,1,3,2,RM,Normal,Asia,72.0,55.0,42.333333333333336,59.5,31.8,59.0,11,Midfielder
22,185.42,73.9,61,72,425000.0,5000.0,Right,1,4,2,CM,Lean,Asia,68.0,50.5,55.333333333333336,60.666666666666664,53.4,67.25,11,Midfielder
28,175.26,68.9,63,64,350000.0,4000.0,Right,1,3,2,CDM,Normal,Asia,59.5,42.333333333333336,49.833333333333336,59.166666666666664,60.4,69.5,1,Midfielder
41,182.88,86.2,56,56,10000.0,1000.0,Right,1,3,1,GK,Stocky,Asia,47.5,18.5,18.333333333333332,35.333333333333336,20.6,49.0,0,Goalkeeper
24,172.72,73.0,64,69,600000.0,7000.0,Left,1,3,2,RM,Normal,Asia,87.0,53.833333333333336,57.166666666666664,66.0,29.6,67.0,5,Midfielder
23,152.4,79.8,57,66,140000.0,2000.0,Right,1,2,2,CB,Lean,Asia,52.0,30.833333333333332,32.166666666666664,46.0,57.2,60.5,9,Defender
29,182.88,83.0,68,69,825000.0,14000.0,Left,1,3,2,CB,Normal,Asia,65.5,30.333333333333332,32.166666666666664,53.166666666666664,67.2,75.0,1,Defender
22,182.88,72.1,54,63,90000.0,2000.0,Right,1,3,2,CB,Normal,Asia,52.5,26.333333333333332,34.5,44.666666666666664,53.6,59.75,9,Defender
21,152.4,68.9,59,69,220000.0,3000.0,Right,1,3,2,CDM,Normal,Asia,61.5,35.5,47.0,60.833333333333336,52.8,58.5,10,Midfielder
25,182.88,74.8,64,69,500000.0,6000.0,Right,1,3,2,CB,Normal,Asia,67.0,42.5,42.833333333333336,54.833333333333336,61.4,70.75,5,Defender
21,152.4,60.8,56,65,120000.0,2000.0,Right,1,3,2,RB,Lean,Asia,69.5,28.0,39.5,53.333333333333336,53.4,56.0,9,Defender
24,175.26,73.0,64,67,475000.0,4000.0,Right,1,3,2,CB,Normal,Asia,67.5,49.166666666666664,43.333333333333336,55.166666666666664,61.0,72.25,3,Defender
30,172.72,68.0,66,66,500000.0,10000.0,Right,1,4,3,CDM,Normal,Asia,70.5,50.666666666666664,56.166666666666664,68.5,57.6,65.75,0,Midfielder
26,175.26,66.2,61,62,300000.0,6000.0,Left,1,2,3,RM,Normal,Asia,72.0,50.5,54.833333333333336,60.333333333333336,36.2,50.75,1,Midfielder
31,175.26,77.1,66,66,600000.0,10000.0,Right,1,4,4,CAM,Normal,Asia,54.5,59.0,65.5,69.0,48.2,65.0,0,Midfielder
24,175.26,69.9,66,72,875000.0,9000.0,Left,1,3,3,RM,Normal,Asia,74.5,65.66666666666667,62.333333333333336,69.0,37.4,67.0,6,Midfielder
24,152.4,73.0,58,64,130000.0,2000.0,Left,1,2,1,GK,Lean,Asia,34.0,17.5,19.666666666666668,35.333333333333336,14.4,34.75,6,Goalkeeper
26,187.96,83.9,63,65,375000.0,5000.0,Right,1,2,2,CB,Normal,Asia,62.0,31.333333333333332,33.166666666666664,52.333333333333336,62.6,66.75,2,Defender
37,193.04,93.0,72,72,425000.0,12000.0,Right,2,2,1,GK,Normal,Asia,48.0,16.0,29.333333333333332,46.5,18.0,54.75,0,Goalkeeper
26,185.42,77.1,67,72,850000.0,11000.0,Right,1,3,2,CB,Lean,Asia,55.5,37.0,44.333333333333336,50.5,64.4,77.0,5,Defender
19,185.42,77.1,61,75,525000.0,3000.0,Right,1,4,2,ST,Lean,Asia,69.0,56.5,37.5,57.166666666666664,23.2,60.25,14,Attacker
30,152.4,72.1,60,60,160000.0,2000.0,Left,1,3,2,CB,Normal,Asia,64.5,40.166666666666664,50.5,51.833333333333336,58.8,63.0,0,Defender
23,182.88,67.1,53,62,80000.0,3000.0,Right,1,2,2,CDM,Lean,Asia,64.5,42.166666666666664,43.833333333333336,51.333333333333336,47.2,60.5,9,Midfielder
28,154.94,67.1,61,62,200000.0,3000.0,Right,1,3,1,GK,Normal,Asia,49.5,16.666666666666668,26.0,42.0,15.6,45.5,1,Goalkeeper
28,152.4,73.0,68,68,725000.0,14000.0,Right,1,3,3,CDM,Normal,Asia,62.5,64.16666666666667,64.5,64.16666666666667,62.2,68.25,0,Midfielder
24,167.64,66.2,64,71,625000.0,4000.0,Right,1,3,3,RM,Lean,Asia,82.0,52.333333333333336,58.666666666666664,69.0,25.6,44.0,7,Midfielder
27,152.4,76.2,64,64,300000.0,4000.0,Right,1,3,1,GK,Normal,Asia,40.5,16.666666666666668,22.0,40.333333333333336,16.2,43.5,0,Goalkeeper
22,175.26,66.2,64,77,775000.0,5000.0,Right,1,3,2,CDM,Lean,Asia,67.5,42.5,49.333333333333336,59.5,59.8,67.5,13,Midfielder
32,152.4,73.0,68,68,525000.0,13000.0,Right,1,2,2,CDM,Lean,Asia,66.5,45.166666666666664,48.666666666666664,62.0,67.4,74.0,0,Midfielder
